,symbol,price,market cap,exchange,currency,sector,industry,company_url
2938,LRDR,0.0500,0.0500,Other OTC,USD,Financial Services,Shell Companies,https://lrdrcorp.com
2939,LVS,57.01,56.55,NYSE,USD,Consumer Cyclical,Resorts & Casinos,https://www.sands.com
2940,LATF,0.0000,0.0000,Other OTC,USD,Consumer Defensive,Packaged Foods,https://www.latteno.com
2941,LSCC,89.16,91.12,NasdaqGS,USD,Technology,Semiconductors,https://www.latticesemi.com
2942,EL,241.26,239.43,NYSE,USD,Consumer Defensive,Household & Personal Products,https://www.elcompanies.com
2943,LAUR,11.29,11.40,NasdaqGS,USD,Consumer Defensive,Education & Training Services,https://www.laureate.net
2944,LRCDF,23.35,23.30,Other OTC,USD,Financial Services,Banks—Regional,https://lbcfg.ca
2945,LMEFF,0.2560,0.2628,Other OTC,USD,Basic Materials,Gold,https://www.laurion.ca
2946,LAZ,31.34,31.51,NYSE,USD,Financial Services,Capital Markets,https://www.lazard.com
2947,LAZY,10.68,10.61,NasdaqCM,USD,Consumer Cyclical,Auto & Truck Dealerships,https://www.lazydays.com
2948,LCII,102.82,103.21,NYSE,USD,Consumer Cyclical,Recreational Vehicles,https://www.lci1.com
2949,LCNB,16.24,16.24,NasdaqCM,USD,Financial Services,Banks—Regional,https://www.lcnb.com
2950,LBUY,0.1067,0.1089,Other OTC,USD,Communication Services,Internet Content & Information,https://www.leafbuyer.com
2951,LPTX,0.3100,0.3300,NasdaqGM,USD,Healthcare,Biotechnology,https://www.leaptx.com
2952,LEA,131.70,133.43,NYSE,USD,Consumer Cyclical,Auto Parts,https://www.lear.com
2953,LEAT,11.50,11.15,Other OTC,USD,Consumer Cyclical,Leisure,https://www.leatt.com
2954,LFGP,16.94,17.00,Other OTC,USD,Financial Services,Banks—Regional,https://www.ledyardbank.com
2955,LEE,12.48,12.50,NasdaqGS,USD,Communication Services,Publishing,https://lee.net
2956,LPHM,0.2910,0.2913,Other OTC,USD,Financial Services,Shell Companies,https://www.ronnmotorgroup.com
